OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"214","Cordoba Academy","(425) 954-3687","3210 200th Pl SW, Lynnwood, WA 98036","Lynnwood","Washington","N/A","United States","N/A","info@cordobaacademy.org","http://www.cordobaacademy.org","65","2017","N/A","N/A","Not accredited","Character/tarbiyah program,Montessori curriculum/program,Homeschooling support","","","https://www.facebook.com/CordobaAcademySeattle/","","","https://www.youtube.com/watch?v=sZTPvjSnLNs&t=2s","","","214","47.81668579999999","-122.2770868"
"215","Leaders Preparatory School","(407) 382-9900","10210 N Goldenrod Rd, Orlando, FL 32807","Orlando","Florida","N/A","United States","N/A","f.elkhaldi@lpscfl.org","http://WWW.LPSCFL.org","230","1991","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Hifdh,College dual credit","","","https://www.facebook.com/leaderspreparatoryschool","https://www.instagram.com/leaders_prep/","https://twitter.com/leaders_prep","","https://www.linkedin.com/company/leaders","","215","28.56916","-81.28598219999999"
"216","Bayaan Academy","(813) 548-0126","15435 Morris Bridge Rd, Thonotosassa, FL 33592","Thonotosassa","Florida","N/A","United States","N/A","Magdasaleh@bayaanacademy.org","http://www.Bayaanacademy.org","165","2015","N/A","N/A","Accredited","scholarship, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/bayaanacademy","https://www.instagram.com/Bayaanacademyfl/","","https://www.youtube.com/@bayaanacademyyoutubeadmin8492","","","216","28.1379394","-82.28406489999999"
"217","Crescent View Academy","(303) 745-2245","10958 E Bethany Dr, Aurora, CO 80014","Aurora","Colorado","N/A","United States","N/A","principal@crescentview.org","http://www.crescentview.org","475","1993","N/A","N/A","Accredited","hot lunch, scholarship, uniforms, After school clubs,Tutoring Program,Debate,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College preparatory programs","","","https://www.facebook.com/CrescentViewAcademy","https://www.instagram.com/CrescentViewAcademy/","","https://www.youtube.com/@CrescentViewAcademy","","","217","39.6628145","-104.8609057"
"219","Baytul-Iman Academy","(732) 705-1242","311 Laurel Ave, Middletown Township, NJ 07748","Hazlet","New Jersey","N/A","United States","N/A","contact@baytuliman.org","http://www.baytuliman.org","80","2001","N/A","N/A","Other","Transportation/busing,After school clubs,Special education,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Homeschooling support,Sports teams,Regional and National competitions","","","https://www.facebook.com/BaytulIman.Academy","https://www.instagram.com/baytulimanacademy/","","","","","219","40.4012636","-74.14358380000002"
"220","Everest Academy","(281) 261-3030","610 Brand Ln, Stafford, TX 77477","Stafford","Texas","N/A","United States","N/A","farahn@everest-academy.com","http://www.everest-academy.com","380","2007","N/A","N/A","Accredited","hot lunch, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,Alumni association","","","https://www.facebook.com/everest.academy610/","https://www.instagram.com/everest_academy_stafford/","https://twitter.com/_EverestAcademy","","","","220","29.6188222","-95.5793987"
"221","Hadi School of Excellence","(847) 891-4440","375 S Roselle Rd, Schaumburg, IL 60193","Schaumburg","ILLINOIS","N/A","United States","N/A","Contact@hadischool.org","http://Hadischool.org","100","2003","N/A","N/A","In the process of applying","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Debate,Digital citizenship education,Sports teams,Regional and National competitions","","","https://www.facebook.com/hadischool.excellence?mibextid=ZbWKwL","https://www.instagram.com/Hadischool786/","https://twitter.com/hadischool786","https://www.youtube.com/watch?v=lOi8Xq4Ywc0","","","221","42.0215635","-88.07942369999999"
"222","Tawheed Center of Detroit School","(313) 271-0731","20601 W Warren Ave, Dearborn Heights, MI 48127","Dearborn Heights","Michigan","N/A","United States","N/A","ghazala.khan@school.masjidtawheed.org","http://school.masjidtawheed.org","237","2001","N/A","N/A","Other","After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Regional and National competitions","","","","","","","","","222","42.3419114","-83.2408145"
"223","Al Falah Academy","(678) 502-7211","1835 Shackelford Ct, Norcross, GA 30093","Norcross","Georgia","N/A","United States","N/A","Info@alfalahacademy.com","http://Alfalahacademy.com","440","2010","N/A","N/A","Accredited","hot lunch, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/AlFalahAcademySchool","","","https://www.youtube.com/watch?v=UQVm","","","223","33.938222","-84.1547969"
"224","Michigan Islamic Academy","(734) 665-8882","2301 Plymouth Rd, Ann Arbor, MI 48105","ANN Arbor","Michigan","N/A","United States","N/A","Mia@mia-aa.org","https://mia-aa.org/","303","1985","N/A","N/A","Accredited","hot lunch, science lab, uniforms, Transportation/busing,After school clubs,Montessori curriculum/program,Tutoring Program,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Other","","","https://www.facebook.com/Michigan.Islamic.Academy","https://www.instagram.com/michigan.islamic.academy/","","","","","224","42.30126569999999","-83.7146461"
"225","Islamic School of Irving","(972) 812-2230","2555 Esters Rd, Irving, TX 75062","Irving","Texas","N/A","United States","N/A","shahnaz.chowdhury@islamicschoolofirving.org","http://www.islamicschoolofirving.org","850","1996","N/A","N/A","Accredited","science lab, uniforms, After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/IslamicSchoolOfIrving/","","https://twitter.com/isitx","https://www.youtube.com/watch?v=GZt0yjWaAPA","","","225","32.8434077","-97.0107439"
"226","Nur Islamic School of Louisville","(502) 459-9447","6500 Six Mile Ln, Louisville, KY 40218","Louisville","Kentucky","N/A","United States","N/A","info@nurislamicschool.org","http://www.nurislamicschool.org","160","1999","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Digital citizenship education,English Language Learner (ELL) support","","","https://www.facebook.com/growmindandsoul","https://www.instagram.com/learnatnisl/","https://twitter.com/growmindandsoul","https://www.youtube.com/@nurislamicschooloflouisvil9360","","","226","38.1972062","-85.6340525"
"227","Bright Horizon Academy (Formerly, Islamic School of San Diego)","(858) 278-7970","7050 Eckstrom Ave, San Diego, CA 92111","San Diego","California","N/A","United States","N/A","cc-admin@issdweb.org","http://brighthorizonacademy.org","275","1992","N/A","N/A","Accredited","hot lunch, scholarship, uniforms, Transportation/busing,After school clubs,Tutoring Program,Hifdh,Sports teams,Advanced Placement (AP),College dual credit","","","https://www.facebook.com/islamicschoolofsandiego/","https://www.instagram.com/bha_sandiego/","","https://www.youtube.com/channel/UCAOVujLZABNe7PGQy6Ovv3w","","","227","32.82058420000001","-117.1654905"
"228","Greater Lansing Islamic School","(517) 332-3700","940 S Harrison Rd, East Lansing, MI 48823","East Lansing","MICHIGAN","N/A","United States","N/A","School@lansingislam.com","https://sites.google.com/a/school.lansingislam.com/main","145","1996","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Special education,Tutoring Program,Debate,English Language Learner (ELL) support,Sports teams,Regional and National competitions","","","https://www.facebook.com/GLIslamicSchool/","","","https://www.youtube.com/watch?v=VnsiwxMi3dM&t=2008s","","","228","42.7240478","-84.4944876"
"229","Andalusia School","(914) 964-5600","380 Walnut St, Yonkers, NY 10701","Yonkers","New York","N/A","United States","N/A","Andalusiaoffice@masuny.org","http://Andalusiaschool.masuny.org","312","","N/A","N/A","In the process of applying","Transportation/busing,After school clubs,Sports teams","","","https://www.facebook.com/andalusiaschoolofficialpage/","https://www.instagram.com/andalusiaschool/","","","","","229","40.934854","-73.8857544"
"230","New Horizon School, Irvine","(949) 281-0054","1 Truman St, Irvine, CA 92620","Irvine","California","N/A","United States","N/A","info@nhirvine.org","http://www.newhorizonirvine.org","380","2001","N/A","N/A","Accredited","hot lunch, science lab, uniforms, Character/tarbiyah program,Digital citizenship education,Sports teams,Alumni association","","","https://www.facebook.com/nhirvine","https://www.instagram.com/nhirvine/","https://twitter.com/nhirvine","https://www.youtube.com/user/irvinenewhorizon","","","230","33.6971791","-117.7661783"
"231","Universal School","(716) 597-0102","1957 Genesee St, Buffalo, NY 14211","Buffalo","New York","N/A","United States","N/A","office@myuniversalschool.org","http://www.myuniversalschool.org","179","2001","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,English Language Learner (ELL) support,Hifdh,College preparatory programs","","","https://www.facebook.com/Universal.Buffalo/","https://www.instagram.com/universal_school_buffalony/","","","","","231","42.9137442","-78.80945609999999"
"232","Indiana Horizon Academy","(219) 796-9490","9803 Colorado St, Crown Point, IN 46307","Crown Point","Indiana","N/A","United States","N/A","Ihacademy13@gmail.com","http://Www.indianahorizon.org","125","2013","N/A","N/A","Accredited","hot lunch, scholarship, uniforms, Transportation/busing,After school clubs,Special education,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support","","","https://www.facebook.com/indianahorizon","","","","","","232","41.4396175","-87.2949725"
"233","Furqaan Academy Online","(630) 914-5015","401 W Boughton Rd, Bolingbrook, IL 60440","Bolingbrook","ILLINOIS","N/A","United States","N/A","fao@furqaanacademy.org","http://online.furqaanacademy.org/","10","2022","N/A","N/A","Not accredited","After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh","","","https://www.facebook.com/furqaanacademyonline","","","https://www.youtube.com/user/furqaanstudios","","","233","41.7066122","-88.0835115"
"234","Iman Academy Southeast","(281) 204-8710","825 Jetstream Ct, Webster, TX 77598","Webster","Texas","N/A","United States","N/A","aliyah.harris@imanacademy.org","http://www.imanacademy.org","375","1996","N/A","N/A","Accredited","science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/ImanAcademy/","https://www.instagram.com/imanacademyse/","","https://www.youtube.com/channel/UCqXMNaga2IUr2atb0C9FpJg","","","234","29.5899949","-95.17559039999999"
"235","Folsom Educational Academy","(916) 790-8599","381 S Lexington Dr, Folsom, CA 95630","Folsom","California","N/A","United States","N/A","principal@feaschool.com","http://feaschool.com","125","2010","N/A","N/A","Accredited","Character/tarbiyah program,English Language Learner (ELL) support,Regional and National competitions","","","https://www.facebook.com/FEASchool/","https://www.instagram.com/feaschool/","","","","","235","38.6660957","-121.1329274"
"236","Islamic School of MET (PK-5) / Oregon Islamic Academy (6-12)","(503) 579-6621","Portland, OR 97207","Portland","Oregon","N/A","United States","N/A","admin@metpdx.org","http://www.metpdx.org","209","1997","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/METPDX","https://www.instagram.com/met_pdx/","https://twitter.com/MET_PDX","https://www.youtube.com/user/METVideoChannel","https://www.linkedin.com/in/met","https://www.flickr.com/photos/metpdx/","236","45.5211732","-122.6806194"
"237","Al Fatih Academy","(703) 437-9382","12300 Pinecrest Rd, Reston, VA 20191","Reston","Virginia","N/A","United States","N/A","info@alfatih.org","http://alfatih.org","174","1999","N/A","N/A","Accredited","scholarship, uniforms, After school clubs,Character/tarbiyah program,Digital citizenship education,Hifdh,Regional and National competitions,Alumni association","","","https://www.facebook.com/alfatihacademy/","https://www.instagram.com/al_fatih_academy/?hl=en","","https://www.youtube.com/user/AlFaithAcademy","","","237","38.9366289","-77.3719651"
"238","New African Ummah Online School","(804) 415-8664","3588 Indian Spg Rd, Green Bay, VA 23942","Green Bay","Virginia","N/A","United States","N/A","michelle@newafricanummah.com","https://www.newafricanummah.net/","22","2016","N/A","N/A","In the process of applying","Character/tarbiyah program,Digital citizenship education,Homeschooling support","","","https://www.facebook.com/newafricanummahonlineschool/","","","","","","238","37.19415559999999","-78.3082699"
"239","Arizona Cultural Academy & College Prep","(602)600-5220","7810 S 42nd Pl, Phoenix, AZ 85042","Phoenix","Arizona","N/A","United States","N/A","communication@azacademy.org","http://www.azacademy.org/","337","1996","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Regional and National competitions,College dual credit,Alumni association","","","https://www.facebook.com/profile.php?id=100028131326559","https://www.instagram.com/acaazacademy/","https://twitter.com/academyarizona","https://www.youtube.com/channel/UCrTRVuE0BAzd5DSrGtIgTUQ","https://www.linkedin.com/school/arizona","","239","33.3756163","-111.9929104"
"240","Northstar School","(510) 342-9091","22502 Woodroe Ave, Hayward, CA 94541","Hayward","California","N/A","United States","N/A","salwa@northstarschool.org","http://www.northstarschool.org","160","2002","N/A","N/A","Accredited","Character/tarbiyah program","","","https://www.facebook.com/northstarschool.cal","","","","","","240","37.6885783","-122.0541362"
"241","Unity Academy of Chicago","(630) 793-1301","985 S Bartlett Rd, Streamwood, IL 60107","Streamwood","ILLINOIS","N/A","United States","N/A","info@theunityacademy.org","http://www.theunityacademy.org/","40","2021","N/A","N/A","In the process of applying","scholarship, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Hifdh,Other","","","","https://www.instagram.com/unityacademyofchicago/","","","","","241","42.0142099","-88.1826799"
"242","CITY OF KNOWLEDGE SCHOOL","(909) 392-0251","3285 N Garey Ave, Pomona, CA 91767","Pomona","California","N/A","United States","N/A","info@cityofknowledge.com","http://www.cityofknowledge.com","200","1994","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Character/tarbiyah program,Debate,English Language Learner (ELL) support,Homeschooling support,Advanced Placement (AP),College preparatory programs,Alumni association","","","https://www.facebook.com/cityofk?fref=ts","https://www.instagram.com/cityofknowledge/","","https://www.youtube.com/cityofknowledgeschool","","","242","34.1064464","-117.7492488"
"243","ISLAMIC SCHOOL OF MIAMI","(305) 408-0400","11699 SW 147th Ave, Miami, FL 33196","Miami","Florida","N/A","United States","N/A","shehnaz.bengali@myisom.org","http://www.myisom.org","120","2014","N/A","N/A","Accredited","scholarship, uniforms, Character/tarbiyah program,Hifdh","","","https://www.facebook.com/MiamiMasjid/","","","https://www.youtube.com/channel/UCHhfJUp84qZpGO4zav4dMVw","","","243","25.6590518","-80.429419"
"244","Carriers of Light","(630) 949-8232","1607 Taft Ave, Wheaton, IL 60189","Wheaton","Illinois","N/A","United States","N/A","info@carriersoflight.com","http://www.carriersoflight.com/","102","2010","N/A","N/A","Accredited","scholarship, uniforms, After school clubs,Character/tarbiyah program,English Language Learner (ELL) support,Hifdh","","","https://www.facebook.com/CarriersofLight/","https://www.instagram.com/carriersoflightschool/","https://twitter.com/CarriersLight","https://www.youtube.com/channel/UCDFjZR14kORo9o3XprnngRw/featured?view_as=subscriber","","","244","41.8584781","-88.08431879999999"
"245","AL-HAQQ FOUNDATION ACADEMY & DAYCARE","(317) 929-1700","5526 Georgetown Rd, Indianapolis, IN 46254","INDIANAPOLIS","Indiana","N/A","United States","N/A","ahfacademy@gmail.com","http://www.alhaqqfoundation.net/","52","2017","N/A","N/A","Accredited","Transportation/busing,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh,Homeschooling support,Other","","","https://www.facebook.com/AHFAcademy/","","","","","","245","39.8520423","-86.2430997"
"246","Toledo Islamic Academy","(419) 882-3339","5225 W Alexis Rd, Sylvania, OH 43560","Sylvania","Ohio","N/A","United States","N/A","principal@tiaus.net","http://www.tiaus.net","244","1995","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,Special education,Tutoring Program,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/ToledoIslamicAcademy","","","https://www.youtube.com/channel/UCXg6uSOK","https://www.linkedin.com/company/toledo","","246","41.71701729999999","-83.6686828"
"247","Augusta Science Academy","(706) 925-5715","1 Islamic Center Dr, Augusta, GA 30907","Martinez","Georgia","N/A","United States","N/A","Principal@asciencea.com","http://augustascienceacademy.com/","47","2018","N/A","N/A","Accredited","scholarship, uniforms, Other","","","https://www.facebook.com/augustascienceacademy/","","","","","","247","33.5257188","-82.11161709999999"
"248","Islah Academy","(323) 596-3456","2900 W Slauson Ave, Los Angeles, CA 90043","Los Angeles","California","N/A","United States","N/A","Admin@islahacademy.org","http://islahacademy.org/","60","2014","N/A","N/A","Accredited","scholarship, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Digital citizenship education","","","https://www.facebook.com/IslahEducationalInstitute/","https://www.instagram.com/islahacademy/?hl=en","","https://www.youtube.com/channel/UC8cXqy6AY279mR2wSk6NkVw","","","248","33.9888533","-118.3246887"
"249","Islamic School of Columbia- Missouri","(573) 442-1556","408 Locust St, Columbia, MO 65201","Columbia","Missouri","N/A","United States","N/A","office@theiscm.net","http://www.theiscm.net/","53","1998","N/A","N/A","Accredited","hot lunch, scholarship, uniforms, Alumni association,Other","","","https://www.facebook.com/profile.php?id=100072127607792","","","","","","249","38.9494153","-92.33252440000001"
"250","ILM Academy","(678) 624-1157","1200 Grimes Bridge Rd, Roswell, GA 30075","Roswell","Georgia","N/A","United States","N/A","info@ilm-academy.com","http://ilm-academy.com/","222","2008","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Digital citizenship education,Hifdh,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/ilmacademy","https://www.instagram.com/ilmacademy/","","","https://www.linkedin.com/company/ilm","","250","34.0320779","-84.34211599999999"
"251","RISE Academy","(408) 946-5900","4415 Fortran Ct, San Jose, CA 95134","San Jose","California","N/A","United States","N/A","admin@riseacademy.education","http://www.riseacademy.education/","200","2010","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/sabaacademy.org/","https://www.instagram.com/r.i.s.e.academy/","","https://www.youtube.com/watch?v=CpA6A","","","251","37.421049","-121.9581482"
"252","Islamic Academy of Kendallville","(260) 544-3055","200 W Ohio St, Kendallville, IN 46755","Kendallville","Indiana","N/A","United States","N/A","Info@islamicacademyofkendallville.org","http://islamicacademyofkendallville.org/","50","2021","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,English Language Learner (ELL) support,Regional and National competitions","","","https://www.facebook.com/IslamicAcademyOfKendallville?mibextid=LQQJ4d","https://www.instagram.com/islamicacademyofkendallville/","","https://www.youtube.com/watch?v=fig0Z050nRg","https://www.linkedin.com/company/islamic","","252","41.4329537","-85.2686681"
"253","IANT Quranic Academy","(972) 231-8451","840 Abrams Rd, Richardson, TX 75081","Richardson","Texas","N/A","United States","N/A","office@myiqa.org","http://www.myiqa.org/","297","2002","N/A","N/A","Accredited","science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh,Sports teams,Regional and National competitions,College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/IANTQuranicAcademy/","https://www.instagram.com/myiqa/","","https://www.youtube.com/@IQAtv/videos","","","253","32.9395862","-96.7308168"
"254","Brighter Horizons Academy","(972) 675-2062","Murphy, TX 75094","Murphy","Texas","N/A","United States","N/A","info@bhaprep.org","http://www.bhaprep.org","935","1989","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,International Baccalaureate (IB),Tutoring Program,Debate,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/bhacollegeprep","https://www.instagram.com/bhaprep/","https://twitter.com/bhaprep","","","","254","33.027733","-96.6103778"
"255","New Medina Learning Institute","(215) 298-9994","7401 Limekiln Pike 2nd floor, Philadelphia, PA 19138","Philadelphia","Pennsylvania","N/A","United States","N/A","Newmedina.information@gmail.com","http://www.newmedinainstitute.com","55","2017","N/A","N/A","In the process of applying","Special education,Montessori curriculum/program,Tutoring Program,English Language Learner (ELL) support,Advanced Placement (AP),College preparatory programs","","","https://www.facebook.com/NewMedinaInstitute","https://www.instagram.com/New_Medina/","","","","","255","40.06759479999999","-75.1584008"
"256","Clara Mohammed School of Miami","(305) 757-8741","5245 NW 7th Ave, Miami, FL 33127","Miami","Florida","N/A","United States","N/A","Claramihammedofmiami@yahoo.com","http://ClaraMohammedschool.org","60","1967","N/A","N/A","Other","After school clubs,Tutoring Program,English Language Learner (ELL) support,Homeschooling support","","","https://www.facebook.com/people/Clara","","","","https://www.linkedin.com/company/clara","","256","25.8237172","-80.20785409999999"
"258","MCC Academy","(847) 470-8801","8601 N Menard Ave, Chicago, IL 60646","Morton grove","Illinois","N/A","United States","N/A","Habeeb.quadri@mccacademy.org","http://Www.MCCAcademy.org","850","1990","N/A","N/A","Accredited","hot lunch, scholarship, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Hifdh,Homeschooling support,Sports teams,Regional and National competitions,College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/mccacademy89/","https://www.instagram.com/mcc_academy1/","","https://www.youtube.com/c/MCCAcademyChannel/videos","https://www.linkedin.com/company/mcc","","258","41.9915995","-87.7741693"
"259","Noor-Ul-Iman School","(732) 329-1800","4137 US-1, Monmouth Junction, NJ 08852","Monmouth Junction","New Jersey","N/A","United States","N/A","Mainoffice@nuischool.org","http://Www.NUIschool.org","520","1993","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/nuischool","https://www.instagram.com/noorulimanschool/","https://twitter.com/nui_school_nj","https://www.youtube.com/nuischool","","","259","40.3895674","-74.57058529999999"
"260","Salah Tawfik Elementary and Middle School","(954) 741-8130","5455 NW 108th Ave, Sunrise, FL 33351","Sunrise","Florida","N/A","United States","N/A","info@stemschool.net","http://stemschool.net","166","2000","N/A","N/A","Accredited","scholarship, uniforms, After school clubs,Character/tarbiyah program,Digital citizenship education,Hifdh","","","https://www.facebook.com/SalahTawfikSchool","","","","https://www.linkedin.com/company/stemschool/about/","","260","26.190879","-80.2940936"
"261","Al Madina School of Richmond","(804) 330-4888","10700 Academy Dr, Midlothian, VA 23112","Richmond","Virginia","N/A","United States","N/A","zinabakha@almadinarichmond.org","http://almadinarichmond.org","145","2016","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Debate,College dual credit","","","https://www.facebook.com/AlMadinaSchoolRichmond/","https://www.instagram.com/al_madina_richmond/","","","https://www.linkedin.com/company/al","","261","37.463555","-77.597206"
"262","Dar-Un-Noor Academy","(404) 876-5051","434 14th St NW, Atlanta, GA 30318","Atlanta","Georgia","N/A","United States","N/A","Principal@darunnoor.org","http://Www.darunnoor.org","125","1990","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/DUNAcademy/","","https://twitter.com/DNA_ATLSCI","","","","262","33.7852811","-84.4014297"
"263","Alazzhar School","(954) 722-1555","7201 W McNab Rd, Tamarac, FL 33321","Tamarac","Florida","N/A","United States","N/A","info@alazharschool.net","http://alazharschool.net","250","2000","N/A","N/A","Accredited","After school clubs,Tutoring Program","","","","https://www.instagram.com/alazhar_school/","","","","","263","26.2086557","-80.2472044"
"264","Good Tree Academy","(972) 836-6322","874 Merino Drive, Allen, TX 75013","Allen","Texas","N/A","United States","N/A","office@goodtreeacademy.org","http://www.goodtreeacademy.org","296","2009","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,Hifdh,Sports teams,Regional and National competitions,College dual credit","","","https://m.facebook.com/goodtreeacademy","https://instagram.com/goodtreeacademy","","","","","264","33.1294007","-96.67083369999999"
"265","Al-Ikhlas Training Academy","(313) 369-0880","12555 McDougall, Hamtramck, MI 48212","Detroit","Michigan","N/A","United States","N/A","admin@alikhlastrainingacademy.com","http://www.alikhlastrainingacademy.com","265","1991","N/A","N/A","Not accredited","hot lunch, scholarship, uniforms, Transportation/busing,After school clubs,Tutoring Program,Debate,English Language Learner (ELL) support,Sports teams,Regional and National competitions,College dual credit,Alumni association","","","https://www.facebook.com/profile.php?id=100068052191196","","","","","","265","42.41005080000001","-83.06428410000001"
"266","Austin Peace Academy","(512) 926-1273","5110 Manor Rd, Austin, TX 78723","Austin","Texas","N/A","United States","N/A","info@apacademy.org","http://www.apacademy.org","270","1997","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit","","","https://www.facebook.com/AustinPeaceAcademy","https://www.instagram.com/austinpeaceacademy/?hl=en","https://twitter.com/AusPeaceAcademy","","https://www.linkedin.com/school/austin","","266","30.29965439999999","-97.6867345"
"267","Islamic Academy of Alabama","(205) 870-0422","1810 25th Ct S, Birmingham, AL 35209","Birmingham","Alabama","N/A","United States","N/A","iaaoffice@iaaschool.net","http://www.iaak12.org/","175","1996","N/A","N/A","Accredited","scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Regional and National competitions,Advanced Placement (AP),College dual credit","","","https://www.facebook.com/IAAschool2012?mibextid=9R9pXO","","","","","","267","33.4866868","-86.79122620000001"
"268","The Huda Academy","(501) 565-3555","3221 Anna St, Little Rock, AR 72204","Little Rock","Arkansas","N/A","United States","N/A","Principal@thehudaacademy.org","http://Thehudaacademy.org","125","2000","N/A","N/A","Accredited","After school clubs,Special education,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions","","","https://www.facebook.com/TheHudaAcademy/","","","https://www.youtube.com/channel/UC1AvxEU","","","268","34.7226584","-92.33279399999999"
"269","Noor Academy","(434) 542-2212","5015 Patrick Henry Hwy, Charlotte Court House, VA 23923","Charlotte Court House","Virginia","N/A","United States","N/A","info@noor-academy.org","http://www.noor-academy.org","45","2020","N/A","N/A","In the process of applying","","","","","https://www.instagram.com/nooracademyva/","https://twitter.com/NoorAcademyVA","https://www.youtube.com/channel/UCn2xkGRKXSIpOEwK5gbOkBg","https://www.linkedin.com/company/nooracademyva/","","269","37.074946","-78.716668"
